Age,Annual_Income,Transaction_Amounts,Customer_Satisfaction_Score,Number_of_Visits,Net_Promoter_Score,Loyalty_Program_Engagement,Lifetime_Spend,Items_Purchased_Per_Visit,Online_Shopper
54.56,97.43,1.61,48.49,3,0.2434,0.5396,525.91,20,0.0
71.65,120.83,7.45,26.76,5,1.3339,0.3065,515.51,7,0.0
43.56,76.29,4.35,41.4,1,-0.6888,0.3113,332.35,27,1.0
59.28,114.94,2.79,98.49,1,-1.1487,0.2071,661.82,45,1.0
50.57,65.96,0.15,85.72,5,1.6247,0.3444,512.62,3,0.0
52.69,100.4,14.48,48.45,2,-0.7204,0.5144,616.45,21,0.0
65.28,110.89,3.44,85.36,3,0.2317,0.3238,441.07,2,1.0
55.08,93.76,8.15,74.75,5,0.6797,0.2036,674.58,40,
55.38,149.45,2.49,40.35,6,-1.0038,0.0276,247.52,19,0.0
60.73,90.14,9.46,49.41,1,-0.7551,0.0637,514.4,33,1.0
46.35,88.43,0.87,46.35,3,1.5071,0.2978,424.33,47,0.0
41.61,104.09,1.32,1.45,2,1.3021,0.3314,419.88,7,
39.55,84.9,2.03,32.14,0,0.4633,0.1534,469.05,25,1.0
30.34,71.17,0.46,3.88,3,-0.214,0.4864,243.36,7,0.0
70.56,78.05,2.93,88.49,3,1.7443,0.443,512.04,41,0.0
38.97,115.16,3.33,58.65,4,0.6344,0.2378,540.67,10,0.0
47.79,93.9,0.61,40.41,3,0.6596,0.367,134.33,2,0.0
47.23,134.04,2.79,9.96,2,-0.7867,0.3017,373.94,43,1.0
53.07,91.18,1.1,4.07,1,-0.1919,0.1937,650.3,0,
58.16,114.21,10.41,25.62,5,-1.6831,0.2324,389.74,10,0.0
58.6,110.22,3.56,39.58,2,-0.4097,0.2267,593.07,9,0.0
44.17,90.88,15.18,59.88,6,0.1589,0.4914,490.37,20,0.0
48.33,82.42,2.09,35.2,3,-1.7246,0.2544,700.11,29,1.0
52.83,65.36,2.09,48.12,1,1.6227,0.0898,694.74,38,1.0
47.51,111.06,2.07,67.99,4,-0.2849,0.3552,734.82,29,1.0
66.07,123.97,1.56,4.37,7,0.0725,0.2807,459.16,1,1.0
54.91,68.2,7.67,52.48,1,1.5434,0.3829,707.27,32,1.0
57.35,92.59,1.66,28.48,2,-0.9298,0.3269,342.93,49,0.0
56.63,86.66,1.7,78.2,6,-0.3966,0.1389,426.88,35,1.0
61.73,111.03,0.24,32.29,3,1.0961,0.3259,404.97,41,1.0
51.81,93.43,16.81,16.98,4,0.19,0.2051,547.86,13,0.0
37.03,126.46,10.87,78.94,3,-1.1268,0.219,615.97,20,1.0
54.0,92.31,1.73,76.88,1,1.6679,0.5356,664.39,41,0.0
43.49,75.27,3.68,46.39,1,-1.3014,0.0977,415.81,5,1.0
44.71,90.62,3.3,18.43,2,-0.3586,0.0503,606.38,27,0.0
55.86,92.83,0.46,47.3,1,-1.1491,0.114,427.6,22,1.0
62.38,110.52,3.79,44.19,3,-0.2665,0.2517,495.48,48,1.0
50.21,92.53,0.6,14.71,3,-0.2509,0.5773,523.87,42,1.0
53.09,108.8,2.85,36.29,8,2.0176,0.2276,547.69,27,1.0
67.02,84.19,0.46,81.46,4,-0.5985,0.1139,467.06,25,1.0
52.41,94.11,4.44,50.3,4,0.8562,0.2869,562.83,23,0.0
76.02,84.3,0.25,12.94,5,0.4195,0.1883,586.09,21,1.0
55.66,83.07,4.95,88.45,1,0.4832,0.2073,337.34,41,1.0
32.39,125.5,6.14,74.4,5,0.9139,0.3955,530.28,30,1.0
57.53,85.7,4.23,54.32,1,0.288,0.5192,433.68,44,1.0
53.81,93.05,3.17,26.74,4,-1.6187,0.3123,530.24,17,0.0
62.9,120.89,0.31,9.67,0,0.6509,0.5642,393.35,44,1.0
56.73,115.0,0.06,73.82,4,-0.4274,0.1829,541.83,28,0.0
48.62,132.82,2.1,62.73,8,1.2163,0.579,487.11,8,0.0
37.76,109.66,7.38,81.96,2,-0.5461,0.4409,324.28,21,0.0
47.91,87.99,5.21,68.91,3,0.1695,0.0655,523.19,36,0.0
41.49,141.14,0.67,15.45,5,2.0403,0.6066,524.53,9,1.0
44.19,111.64,5.82,45.25,4,0.2549,0.1131,569.01,26,
55.89,96.91,4.28,31.21,5,-0.2769,0.1192,686.7,5,0.0
66.7,101.15,0.91,86.55,1,-0.2646,0.3478,568.74,48,1.0
53.95,103.59,7.04,27.37,3,0.2563,0.2509,424.14,39,
38.04,95.26,8.87,49.53,4,-0.5681,0.2979,408.37,33,
54.45,72.48,1.32,54.83,6,-1.2235,0.0706,418.87,18,
61.97,132.53,5.05,62.54,2,-1.983,0.3111,542.2,41,0.0
43.9,99.56,2.38,63.53,2,-1.8501,0.1975,539.46,13,0.0
48.66,103.67,0.3,64.56,0,0.5456,0.5239,447.43,30,0.0
50.15,141.56,9.88,35.54,3,0.0899,0.2384,544.21,6,0.0
42.15,86.33,8.59,50.58,1,-1.4923,0.2062,504.65,48,0.0
56.48,113.11,1.91,5.84,4,1.5318,0.3791,538.13,42,0.0
48.79,84.15,3.79,52.75,2,1.7093,0.3308,483.8,16,
54.2,106.42,3.59,62.21,4,0.3061,0.0426,587.59,24,1.0
41.13,104.03,0.98,74.44,3,-1.4195,0.3328,497.55,34,1.0
45.63,115.81,0.79,14.73,6,-1.9081,0.4145,368.56,38,0.0
57.22,124.16,9.3,61.99,1,0.8267,0.508,651.92,34,
46.27,88.41,10.1,32.74,2,0.9548,0.3264,465.03,49,0.0
67.27,128.33,6.46,40.38,6,-0.6117,0.3084,581.41,38,0.0
46.0,129.75,0.38,47.48,4,0.8342,0.0098,473.43,16,1.0
52.25,95.0,11.99,12.89,3,0.4754,0.1104,506.29,9,0.0
59.33,99.87,19.75,24.0,3,0.9501,0.2894,549.59,17,0.0
35.82,90.11,7.47,6.32,2,1.1197,0.3804,612.3,35,0.0
32.39,93.89,2.18,97.42,2,-0.6986,0.1434,535.54,26,
34.74,75.93,2.6,19.08,5,-0.7901,0.0938,645.98,32,1.0
62.63,115.55,10.19,63.37,0,-1.3234,0.3702,405.99,15,
44.48,58.99,1.64,11.55,1,0.8632,0.7147,445.66,17,1.0
75.58,86.06,0.76,69.7,2,0.8298,0.4749,519.69,47,0.0
44.36,99.08,8.65,87.5,5,1.975,0.1838,349.65,2,1.0
51.85,126.0,1.07,47.53,2,-0.5012,0.5567,441.18,47,1.0
65.42,89.1,11.89,68.65,1,0.2833,0.1109,367.56,14,0.0
70.06,108.56,4.53,66.07,2,0.4664,0.3548,427.49,35,0.0
70.62,98.38,4.05,65.38,2,-0.5711,0.403,494.83,13,1.0
62.08,118.9,7.47,10.59,1,1.3103,0.081,611.71,13,0.0
60.24,107.51,0.08,81.67,5,0.6604,0.1405,413.26,46,1.0
55.93,116.6,6.25,58.6,1,1.6137,0.6582,537.88,29,0.0
57.78,88.99,4.56,22.69,2,0.3206,0.2115,490.76,10,0.0
44.49,79.72,3.71,43.99,6,0.9625,0.2693,540.48,10,1.0
41.82,107.34,1.23,72.51,0,-1.1747,0.4518,412.53,43,0.0
49.97,90.25,8.84,64.25,2,-1.7319,0.0336,491.48,19,1.0
48.3,100.61,1.44,15.26,3,0.4426,0.2955,298.37,48,0.0
45.47,106.35,3.36,60.08,4,0.4355,0.1948,401.47,12,0.0
56.96,124.84,0.86,50.86,7,0.3047,0.6517,526.58,40,0.0
59.55,115.73,18.19,65.4,1,-1.0796,0.1401,384.71,10,1.0
50.88,86.38,1.08,78.44,3,-0.214,0.3373,435.09,48,
64.78,77.1,8.13,32.9,2,-0.8361,0.0427,624.28,6,
38.58,134.15,1.53,40.89,6,-0.5027,0.2269,592.45,34,0.0
48.06,68.35,1.48,59.44,1,1.4263,0.6501,323.33,25,0.0
42.83,90.95,2.74,78.21,4,-0.1333,0.2122,526.61,27,1.0
31.33,112.9,9.35,61.69,2,0.9935,0.2077,462.01,5,0.0
49.17,132.78,5.82,1.48,1,-0.1834,0.0744,470.53,49,0.0
48.78,96.21,10.26,99.1,1,0.0544,0.6812,528.82,12,1.0
65.13,100.55,0.24,2.85,3,-0.3689,0.2636,675.26,3,
56.31,82.5,15.58,86.83,7,0.4563,0.2842,446.67,47,1.0
39.76,102.53,0.4,90.57,2,1.1518,0.3137,556.49,6,1.0
68.54,77.0,6.38,21.47,2,-0.1104,0.6291,487.76,19,0.0
62.21,84.99,1.16,77.52,2,0.1081,0.5387,535.94,13,1.0
55.82,115.28,9.19,47.68,1,-1.7366,0.2094,586.22,33,1.0
47.74,91.33,9.92,41.75,2,0.7326,0.4917,703.52,26,1.0
40.41,118.34,4.01,14.68,3,-1.3306,0.4558,620.1,12,1.0
46.28,96.93,2.58,46.03,4,0.2634,0.1608,647.72,20,0.0
60.89,72.62,7.88,63.75,1,0.7378,0.5324,615.36,42,1.0
68.85,123.37,10.36,49.81,6,-0.3393,0.1677,487.57,14,0.0
65.43,73.69,6.7,22.39,1,-1.0379,0.2556,567.79,7,
45.11,87.96,11.87,48.7,4,-0.5743,0.1592,411.98,35,1.0
38.8,96.01,4.92,87.32,2,0.9542,0.5243,623.39,24,0.0
51.41,120.12,5.55,81.78,5,1.2209,0.5695,486.45,5,1.0
32.32,89.47,4.24,19.18,4,0.3928,0.3691,405.29,18,1.0
53.23,81.47,3.35,48.93,0,0.4491,0.3282,639.57,37,0.0
48.52,103.25,5.32,60.38,4,-0.0466,0.3044,343.96,49,0.0
45.34,95.72,4.12,53.2,3,-1.2885,0.2213,557.8,49,
34.05,90.65,6.57,66.06,4,0.5288,0.2739,607.76,24,0.0
55.14,104.33,13.61,68.43,1,-0.6294,0.2168,504.82,14,0.0
44.67,75.93,2.33,40.42,2,1.7055,0.4047,534.25,20,1.0
38.3,65.56,2.65,24.19,6,-0.1271,0.1495,231.12,49,1.0
21.28,142.77,0.08,44.22,4,0.0131,0.1681,488.74,45,0.0
49.72,102.08,3.74,10.8,3,-0.1871,0.0451,375.27,21,0.0
67.72,103.48,0.7,74.74,3,-1.1215,0.2437,606.79,21,0.0
66.61,84.36,6.29,77.56,0,1.7736,0.2847,489.32,7,0.0
45.43,117.95,7.56,94.32,3,-0.0545,0.475,517.95,22,1.0
43.98,89.33,6.41,89.9,5,0.914,0.2272,287.69,39,0.0
54.69,44.28,3.96,12.73,1,0.357,0.1605,459.12,28,1.0
40.02,88.66,3.82,54.59,1,0.7328,0.1808,459.07,10,0.0
53.02,94.37,5.2,70.55,0,-0.8169,0.102,508.87,34,1.0
57.66,96.6,4.05,82.83,4,-0.3991,0.0398,409.73,32,0.0
62.27,96.02,6.94,29.81,0,-2.2697,0.062,442.78,36,0.0
49.0,87.1,11.25,98.69,4,-0.1251,0.3133,575.11,31,1.0
47.96,85.17,3.84,50.43,4,0.9122,0.1557,300.86,26,1.0
41.22,94.04,0.58,46.23,4,0.232,0.2584,453.82,34,0.0
41.73,67.09,0.7,42.2,4,-0.9336,0.2153,469.04,1,1.0
47.74,60.85,2.36,17.8,6,-0.5154,0.1054,312.59,45,1.0
53.67,101.96,3.43,55.81,3,1.6018,0.3551,420.38,36,0.0
59.14,102.29,1.27,12.47,2,-0.0748,0.1951,398.07,18,0.0
41.97,117.59,3.01,84.35,7,0.5469,0.0825,507.73,42,1.0
64.93,94.89,0.73,4.81,3,0.7159,0.045,499.44,34,1.0
47.29,76.13,1.38,85.25,0,-1.2501,0.2297,347.69,31,
49.79,61.21,6.62,81.08,5,0.1637,0.235,453.0,14,0.0
42.53,82.2,21.19,30.07,0,-0.611,0.3425,460.47,17,1.0
25.76,108.45,1.03,3.57,4,0.8582,0.1986,568.18,28,0.0
58.84,128.83,2.07,88.45,2,-1.2286,0.2185,549.77,37,0.0
57.37,101.08,2.16,80.43,7,0.6445,0.2855,367.58,34,1.0
47.19,75.73,1.26,63.47,2,-0.5236,0.3476,566.22,20,1.0
50.67,82.4,1.14,5.5,3,0.0065,0.2898,815.02,3,0.0
55.16,83.03,0.71,50.87,4,-0.4066,0.2725,449.44,11,
34.37,91.88,11.9,93.41,2,-0.9638,0.3847,632.06,28,1.0
44.71,122.42,5.24,10.68,0,0.3909,0.3221,589.08,25,
57.94,123.98,1.72,51.0,6,0.2109,0.1648,474.07,36,1.0
37.46,96.55,1.49,80.34,3,0.7097,0.2158,454.84,16,
52.94,103.66,4.45,66.12,3,0.423,0.2495,524.1,40,1.0
36.43,84.05,5.97,39.45,2,1.4847,0.4018,442.46,35,0.0
54.66,65.8,1.46,89.2,5,-0.5869,0.1058,484.62,42,1.0
49.64,135.77,2.13,52.71,2,1.5889,0.1057,516.18,15,0.0
33.85,53.55,1.72,86.89,4,0.8887,0.5957,573.91,48,0.0
61.65,63.28,0.46,61.16,0,-0.1623,0.1676,478.67,34,1.0
42.65,135.93,2.44,31.29,1,0.6567,0.1485,617.89,25,0.0
41.9,100.33,3.81,89.87,2,1.5743,0.3686,691.28,1,0.0
52.01,77.48,5.33,87.97,3,-1.4441,0.1703,607.03,33,1.0
61.49,113.65,2.7,30.67,5,-0.2255,0.3335,326.11,38,1.0
39.84,115.46,20.48,21.63,0,2.3356,0.4576,769.5,20,1.0
50.62,73.35,4.92,97.88,5,0.6345,0.1697,434.91,8,0.0
54.29,89.34,10.88,47.36,2,0.6085,0.2563,394.29,45,1.0
56.93,117.52,12.38,99.76,3,1.9521,0.247,562.7,41,
51.76,83.66,8.61,25.37,1,-1.0752,0.2703,616.3,38,1.0
46.33,105.64,1.57,10.13,2,0.6536,0.124,580.06,30,
41.72,128.5,2.82,0.77,2,0.6479,0.2574,660.77,27,1.0
50.86,52.15,0.0,31.22,4,0.8232,0.3972,715.53,23,0.0
39.28,93.18,3.0,58.48,6,-2.3148,0.0895,610.79,20,0.0
20.79,105.23,1.74,24.88,0,-1.5746,0.2953,649.34,12,0.0
54.37,64.16,0.59,57.58,3,0.5221,0.3632,395.32,2,1.0
59.04,89.41,9.12,5.64,7,-1.8562,0.0733,436.26,20,
26.37,120.89,5.6,97.05,4,-0.0776,0.4355,494.55,24,1.0
39.9,85.91,35.09,34.74,3,0.1753,0.4795,562.89,16,0.0
56.19,70.31,3.45,97.33,6,-0.2536,0.0837,515.14,29,1.0
70.57,122.62,2.01,53.46,2,1.2598,0.1657,615.6,42,1.0
50.21,108.89,1.53,46.63,4,-1.9191,0.4462,472.37,39,1.0
42.72,98.62,2.86,8.96,3,-1.1671,0.1754,431.64,30,1.0
48.17,98.03,1.85,8.48,3,-0.026,0.083,312.84,8,1.0
63.75,120.57,23.42,51.37,5,0.6198,0.3191,433.89,12,1.0
43.54,105.89,1.01,31.84,1,1.9237,0.4449,570.5,21,1.0
42.01,112.91,0.1,18.62,2,1.7095,0.7318,502.73,39,0.0
45.17,86.15,0.7,13.54,5,-1.6682,0.1023,475.02,20,0.0
40.47,61.65,11.11,55.87,1,-0.4787,0.1999,629.25,38,1.0
51.23,112.44,5.92,30.12,1,-0.0685,0.0843,581.66,10,
66.25,122.02,7.66,80.59,2,1.3198,0.0801,570.13,46,1.0
53.23,95.51,1.93,8.99,3,-0.725,0.489,537.57,38,0.0
47.48,117.76,4.87,0.81,2,2.4489,0.2284,551.95,30,1.0
47.08,93.3,6.15,94.2,0,0.6032,0.471,556.11,39,1.0
34.37,98.19,1.98,1.73,6,0.1628,0.2595,503.07,33,0.0
58.83,135.05,6.45,86.0,3,-0.3903,0.2546,412.06,49,1.0
49.22,94.17,4.97,88.04,3,1.2048,0.6059,427.8,18,0.0
48.2,92.99,1.76,94.68,5,-0.1069,0.3878,323.28,15,0.0
81.93,62.6,0.27,49.48,2,0.1248,0.0948,491.88,12,1.0
52.99,113.8,1.36,62.38,4,0.3355,0.1659,561.15,34,0.0
42.48,85.8,4.83,36.63,2,1.1985,0.3459,420.77,3,1.0
45.74,102.94,4.57,97.17,3,-0.1166,0.119,581.81,25,
61.48,93.7,3.54,73.18,2,-2.0623,0.1765,609.29,26,1.0
51.13,91.08,1.45,72.06,5,0.358,0.2723,324.24,41,0.0
35.62,97.65,2.94,35.34,1,-1.5171,0.1005,468.45,48,0.0
59.19,99.18,0.78,30.12,4,-2.4674,0.1156,589.91,7,1.0
43.32,123.52,5.43,55.74,3,1.0914,0.2311,593.19,5,1.0
68.73,130.4,10.17,8.13,2,-1.0818,0.4137,591.54,14,0.0
60.8,113.01,3.12,41.89,4,0.1377,0.2667,613.24,40,1.0
45.53,125.43,1.2,53.2,2,1.2376,0.1563,551.1,19,1.0
62.81,117.08,8.8,75.02,6,0.22,0.3452,468.2,19,1.0
50.68,109.89,1.88,57.17,0,-1.1964,0.2946,495.36,3,0.0
58.53,129.1,4.51,39.0,5,-0.977,0.5439,407.08,42,0.0
54.85,73.83,0.39,2.79,7,1.4879,0.3857,396.76,38,1.0
41.54,86.31,6.33,70.84,5,0.3665,0.2628,407.9,33,1.0
43.56,83.58,3.09,76.78,6,-0.5642,0.355,471.29,20,0.0
60.3,93.97,2.75,85.42,5,-0.7364,0.3024,549.84,36,
46.65,113.72,13.65,19.81,1,-0.6587,0.4243,517.53,45,0.0
45.96,77.7,3.38,50.48,3,1.6438,0.0568,379.12,3,1.0
40.45,110.06,0.08,46.04,3,0.0471,0.1601,499.59,22,1.0
54.24,88.26,16.07,76.08,3,-0.1719,0.3985,489.34,41,0.0
70.63,93.06,0.06,50.3,1,1.2174,0.3928,512.43,18,1.0
39.32,104.01,3.84,79.78,7,0.167,0.2292,602.56,46,
50.24,133.62,5.02,8.29,5,0.6763,0.1818,435.24,41,
64.12,85.75,11.24,5.37,2,-0.0729,0.6266,470.13,10,1.0
49.2,98.4,5.68,26.67,4,-0.1346,0.2411,519.38,17,0.0
54.52,78.44,8.33,47.43,1,-0.1661,0.2167,448.91,18,0.0
39.38,85.56,7.35,75.12,1,-1.2395,0.2371,541.82,12,0.0
54.28,78.25,1.2,36.55,2,1.8219,0.2433,505.66,48,1.0
48.13,104.9,6.03,74.11,1,-1.0465,0.0193,571.5,46,1.0
59.86,108.51,5.07,83.14,1,-1.313,0.2729,520.39,47,1.0
61.87,113.74,1.4,50.26,2,0.0914,0.2587,530.63,46,0.0
75.9,84.93,0.69,95.81,5,-1.2371,0.1756,482.57,38,0.0
55.8,110.16,6.96,15.22,3,0.7195,0.2316,550.74,4,1.0
53.26,102.26,17.72,29.56,4,-1.8929,0.0891,319.25,3,1.0
51.94,98.84,6.71,99.76,5,1.2721,0.0636,556.16,42,0.0
46.47,75.17,6.92,16.68,1,0.0904,0.4612,552.21,27,0.0
53.38,103.07,0.91,91.13,4,0.3139,0.5316,466.4,36,0.0
47.05,103.7,1.42,92.02,5,0.0307,0.1004,393.06,11,1.0
51.68,102.03,4.41,63.94,5,0.5225,0.3934,492.2,13,0.0
63.18,108.0,0.16,4.9,3,-0.0441,0.4992,528.82,10,1.0
39.93,113.89,5.51,50.94,2,1.2442,0.4103,480.0,31,1.0
61.4,78.04,0.78,6.92,3,-0.1013,0.0584,627.68,0,0.0
63.17,95.67,2.67,33.15,0,0.1535,0.263,404.73,24,0.0
48.82,110.32,1.93,1.73,3,-0.7829,0.6188,294.24,40,1.0
28.78,94.63,0.56,4.59,5,0.9689,0.2343,525.38,2,0.0
43.92,119.19,4.32,69.72,2,0.0385,0.1083,512.51,34,0.0
62.97,101.8,2.24,98.22,4,-1.1043,0.1014,483.81,1,1.0
49.77,60.9,0.22,78.26,3,-1.2662,0.2323,553.31,2,0.0
40.01,116.79,2.94,39.6,4,-1.2885,0.1445,342.04,6,1.0
44.95,97.66,4.46,33.74,2,0.3194,0.5924,519.06,48,0.0
58.41,64.61,0.7,99.39,3,-0.6017,0.1649,461.34,49,0.0
55.47,94.95,4.4,23.18,0,0.831,0.3565,420.9,42,1.0
47.61,74.63,1.8,3.87,6,1.3091,0.2562,502.28,39,
46.33,115.06,1.5,26.12,3,0.6763,0.1094,427.79,38,1.0
46.08,99.28,7.94,34.17,6,1.2994,0.2093,678.33,47,0.0
40.78,81.53,3.15,48.8,3,0.036,0.3317,529.4,5,1.0
66.15,116.22,2.37,69.78,2,0.7845,0.3556,550.03,49,1.0
46.78,109.17,8.38,65.61,3,-1.3169,0.0466,684.84,25,0.0
62.17,95.28,12.06,62.86,5,-0.7298,0.4324,374.77,49,0.0
65.21,75.09,1.89,88.81,4,1.4728,0.1751,586.87,10,0.0
59.98,83.15,0.26,58.06,2,0.5412,0.5136,459.75,35,0.0
45.68,82.85,3.89,17.59,3,-0.8506,0.1197,316.51,18,0.0
54.04,114.93,6.28,36.1,2,1.5607,0.1409,372.52,25,1.0
49.76,66.38,4.43,67.24,0,1.1104,0.5384,448.16,29,1.0
40.96,99.06,5.82,52.52,2,-0.3482,0.4424,520.26,2,1.0
53.24,94.99,5.2,57.89,5,-0.16,0.5275,664.02,17,0.0
38.21,120.71,15.62,29.83,5,-1.2864,0.159,508.31,14,0.0
61.88,104.65,10.05,28.82,3,-0.0427,0.0802,584.47,42,0.0
45.35,110.7,0.71,45.04,5,-0.1819,0.0697,462.48,44,0.0
52.01,89.49,3.01,3.39,2,-0.2606,0.3123,450.69,49,1.0
52.83,75.38,3.03,43.27,5,-2.002,0.2606,764.44,33,0.0
47.41,93.49,3.05,49.1,2,-1.4455,0.3576,412.06,20,1.0
55.87,115.54,13.35,6.02,4,-0.192,0.7079,525.01,41,0.0
45.25,115.5,1.98,3.28,3,0.1941,0.2577,434.19,38,1.0
58.71,91.39,4.76,0.9,0,0.294,0.06,521.08,2,0.0
36.54,82.79,11.33,36.18,3,-0.1064,0.1996,418.06,36,0.0
51.26,78.87,0.26,49.83,2,1.301,0.2649,579.06,15,1.0
69.39,97.27,10.54,17.28,2,0.5475,0.3044,489.2,31,0.0
40.0,102.73,7.24,89.56,3,0.22,0.2867,489.63,38,1.0
43.22,129.46,1.17,58.33,2,0.6625,0.2643,508.66,2,0.0
55.14,102.47,1.97,59.76,4,-1.2491,0.3073,569.54,25,
51.8,112.28,1.86,6.58,2,1.3708,0.1714,482.11,5,0.0
53.51,84.39,1.25,8.03,7,-1.3686,0.4469,449.97,24,1.0
54.89,100.83,5.09,50.47,4,-0.5609,0.3771,689.2,12,1.0
56.35,102.8,20.32,76.25,1,-0.0951,0.6794,392.66,35,1.0
61.1,97.19,0.91,83.87,4,0.7663,0.4247,631.71,40,1.0
54.1,99.56,1.32,54.11,1,-2.2821,0.3715,507.89,40,
47.59,102.52,1.72,58.92,1,0.7454,0.1329,335.81,37,1.0
56.73,109.62,13.87,61.44,4,-0.0048,0.0382,666.57,47,0.0
69.0,123.38,4.92,31.04,3,-1.34,0.367,415.61,4,0.0
48.67,54.69,1.2,97.54,4,0.357,0.0408,505.28,3,0.0
40.25,122.27,8.15,97.58,3,-1.0509,0.3291,529.3,1,0.0
61.07,65.78,12.81,62.48,5,-1.3096,0.1471,576.72,1,0.0
48.8,106.18,2.58,37.88,2,0.9179,0.5346,522.86,28,0.0
28.27,147.11,0.95,84.96,5,0.9116,0.121,520.94,35,
58.47,99.15,1.85,17.53,1,0.3619,0.1277,551.84,30,0.0
44.65,103.6,1.22,60.36,2,-0.7284,0.1863,462.74,34,1.0
49.09,93.79,1.12,78.92,1,0.9178,0.4547,625.32,40,1.0
53.32,113.35,0.94,0.41,6,-1.3899,0.1568,565.01,20,1.0
51.9,107.24,10.44,43.18,6,-2.7315,0.1206,646.31,2,0.0
57.09,86.48,0.45,26.19,2,-1.1085,0.4047,268.26,23,1.0
45.65,97.71,2.67,79.83,3,-0.9912,0.3462,540.09,37,0.0
55.13,77.63,0.07,92.36,2,2.618,0.153,701.23,4,1.0
47.4,97.62,1.74,17.32,1,1.0011,0.0882,388.24,25,0.0
57.39,91.61,6.14,17.97,2,-0.4818,0.1222,636.88,47,0.0
56.15,102.73,1.13,96.19,3,-0.8899,0.0442,610.79,25,
40.65,85.8,33.34,51.2,4,0.5547,0.2937,514.79,26,1.0
60.86,95.71,0.25,9.78,3,-0.6624,0.6195,567.31,33,1.0
44.64,100.18,0.73,7.61,5,0.3247,0.5225,536.42,33,0.0
58.08,101.57,7.73,96.43,2,1.4475,0.521,544.2,13,0.0
53.67,105.49,18.65,43.2,2,1.4366,0.542,371.44,32,0.0
68.38,96.52,15.4,94.22,3,-1.1586,0.0608,548.61,28,1.0
47.77,84.27,8.0,57.69,5,-0.9399,0.5597,371.82,38,0.0
46.51,101.64,18.06,72.22,7,0.6981,0.2236,425.68,12,1.0
49.81,96.42,9.19,27.9,2,0.2862,0.329,443.89,49,1.0
46.97,120.49,0.3,6.75,0,-1.1044,0.3287,519.73,5,1.0
58.0,123.01,9.34,78.62,3,-0.6283,0.2184,454.1,33,0.0
33.84,72.56,3.31,16.83,7,1.3384,0.264,467.08,11,0.0
39.46,112.34,3.05,71.63,7,-0.2733,0.2375,463.05,46,0.0
39.32,116.35,0.01,7.55,5,0.7628,0.5052,495.55,0,0.0
59.5,73.08,4.84,57.53,3,-0.3053,0.2034,410.87,32,1.0
67.11,111.59,5.57,75.32,3,-0.1876,0.1198,582.83,19,0.0
48.96,117.92,7.82,1.92,3,-0.9586,0.0443,566.56,31,0.0
48.31,81.01,1.97,38.84,2,1.1386,0.5276,509.61,11,
50.7,95.27,0.69,58.84,3,-0.3593,0.4831,752.34,26,0.0
61.62,103.73,2.9,79.83,2,1.3129,0.2494,488.09,7,
40.73,111.41,2.25,25.8,5,-0.6162,0.4705,534.76,30,0.0
52.38,80.23,6.99,81.62,3,-1.9953,0.0877,436.58,38,0.0
59.75,123.14,1.3,64.79,5,-1.487,0.3457,522.54,13,1.0
55.01,59.41,0.74,34.68,3,0.1004,0.1964,479.64,7,
51.9,126.47,2.9,29.96,2,1.6491,0.0775,561.26,24,1.0
60.01,111.01,4.94,70.2,4,-0.2453,0.2292,489.84,35,0.0
22.97,87.56,1.65,72.41,0,0.3977,0.3236,664.24,11,
56.78,117.29,0.61,63.71,2,-2.116,0.4786,563.54,44,1.0
43.46,79.04,2.89,44.41,4,-1.2174,0.228,351.2,38,1.0
31.69,102.3,16.33,2.2,6,-1.7067,0.3395,593.87,24,1.0
55.11,104.77,17.1,57.4,1,1.1291,0.1059,370.52,38,1.0
63.74,104.72,6.17,61.22,6,0.9242,0.2021,684.71,22,0.0
48.63,83.21,7.51,24.02,4,1.7618,0.2806,392.12,27,0.0
59.53,90.08,1.14,20.32,4,-0.3394,0.3849,440.22,8,1.0
66.12,102.53,2.35,86.43,1,-1.2121,0.1033,615.64,15,1.0
63.15,85.47,4.64,17.99,1,-0.3087,0.464,550.17,34,1.0
66.4,105.43,6.94,20.98,4,-0.854,0.2874,415.59,30,0.0
57.42,87.72,0.91,62.28,1,-0.1392,0.0947,675.36,1,1.0
50.75,120.0,3.06,31.91,2,-1.7141,0.3473,629.73,3,0.0
33.98,131.25,0.89,44.11,0,0.395,0.5133,537.94,27,0.0
47.54,94.05,5.02,53.01,1,-1.1754,0.3043,445.96,13,0.0
41.57,118.41,7.4,93.1,1,-1.0387,0.2683,873.92,38,1.0
71.71,95.75,8.96,26.05,4,-0.6513,0.0798,380.45,42,0.0
48.24,81.27,6.59,4.45,1,-0.7431,0.3669,411.39,9,1.0
51.23,91.49,0.87,11.58,3,0.9994,0.2622,468.81,48,1.0
55.51,101.71,8.81,5.16,5,-0.2805,0.2204,643.35,19,1.0
50.44,64.26,2.04,75.41,2,1.4229,0.6529,557.12,4,1.0
66.95,112.51,9.03,98.09,0,-0.0784,0.3898,515.33,48,1.0
43.77,101.72,1.44,8.02,4,0.278,0.09,530.91,5,0.0
51.95,120.01,3.23,28.45,3,-0.5039,0.2058,404.7,11,1.0
42.58,112.16,4.3,85.38,4,0.013,0.4885,685.94,9,1.0
36.8,102.4,0.18,89.75,2,1.7491,0.2281,444.5,22,1.0
43.88,92.88,11.7,21.63,6,0.1584,0.3533,561.51,39,1.0
